date,SPY,HYG,GBTC
2015-01-02 00:00:00,205.459,89.45,0.303
2015-01-05 00:00:00,201.716,89.32,0.2603
2015-01-06 00:00:00,199.923,88.92,0.2673
2015-01-07 00:00:00,202.309,89.08,0.2792
2015-01-08 00:00:00,205.931,89.51,0.2792
2015-01-09 00:00:00,204.2,89.68,0.2751
2015-01-12 00:00:00,202.547,89.63,0.2588
2015-01-13 00:00:00,202.045,89.64,0.2334
2015-01-14 00:00:00,200.876,89.44,0.1903
2015-01-15 00:00:00,199.023,89.49,0.1938
2015-01-16 00:00:00,201.693,89.34,0.2016
2015-01-20 00:00:00,202.012,89.41,0.2032
2015-01-21 00:00:00,202.99,89.41,0.2061
2015-01-22 00:00:00,206.089,89.61,0.2221
2015-01-23 00:00:00,204.956,89.73,0.2208
2015-01-26 00:00:00,205.483,89.83,0.2693
2015-01-27 00:00:00,202.736,89.85,0.2524
2015-01-28 00:00:00,200.019,90.06,0.2397
2015-01-29 00:00:00,201.938,90.06,0.2226
2015-01-30 00:00:00,199.319,90.11,0.2236
2015-02-02 00:00:00,201.904,89.75,0.2186
2015-02-03 00:00:00,204.821,90.03,0.2283
2015-02-04 00:00:00,204.032,90.2,0.2171
2015-02-05 00:00:00,206.168,90.43,0.2127
2015-02-06 00:00:00,205.52,90.67,0.2117
2015-02-09 00:00:00,204.665,90.7,0.2115
2015-02-10 00:00:00,206.854,90.75,0.2103
2015-02-11 00:00:00,206.923,90.68,0.2129
2015-02-12 00:00:00,208.963,90.71,0.2113
2015-02-13 00:00:00,209.828,90.83,0.2239
2015-02-17 00:00:00,210.194,90.98,0.2296
2015-02-18 00:00:00,210.135,91.04,0.2296
2015-02-19 00:00:00,209.947,91.07,0.2285
2015-02-20 00:00:00,211.254,91.13,0.2341
2015-02-23 00:00:00,211.192,91.13,0.227
2015-02-24 00:00:00,211.779,91.28,0.2294
2015-02-25 00:00:00,211.652,91.45,0.2285
2015-02-26 00:00:00,211.375,91.65,0.2272
2015-02-27 00:00:00,210.753,91.66,0.2416
2015-03-02 00:00:00,212.052,91.36,0.2528
2015-03-03 00:00:00,211.094,91.25,0.265
2015-03-04 00:00:00,210.213,91.01,0.2698
2015-03-05 00:00:00,210.472,91.03,0.259
2015-03-06 00:00:00,207.526,90.81,0.2636
2015-03-09 00:00:00,208.362,90.62,0.2717
2015-03-10 00:00:00,204.854,90.29,
