date,SPY,HYG,GBTC
2015-01-02 00:00:00,205.43,89.6,
2015-01-05 00:00:00,201.72,88.77,
2015-01-06 00:00:00,199.82,88.43,
2015-01-07 00:00:00,202.31,88.98,
2015-01-08 00:00:00,205.9,89.65,
2015-01-09 00:00:00,204.25,90.1,
2015-01-12 00:00:00,202.65,89.99,
2015-01-13 00:00:00,202.08,89.99,
2015-01-14 00:00:00,200.86,89.78,
2015-01-15 00:00:00,199.0199,89.23,
2015-01-16 00:00:00,201.63,89.57,
2015-01-20 00:00:00,202.055,89.41,
2015-01-21 00:00:00,203.08,89.89,
2015-01-22 00:00:00,206.1,90.01,
2015-01-23 00:00:00,204.97,90.01,
2015-01-26 00:00:00,205.45,90.42,
2015-01-27 00:00:00,202.74,90.35,
2015-01-28 00:00:00,200.14,90.16,
2015-01-29 00:00:00,201.9902,90.48,
2015-01-30 00:00:00,199.45,90.23,
2015-02-02 00:00:00,201.92,90.21,
2015-02-03 00:00:00,204.84,90.72,
2015-02-04 00:00:00,204.06,90.34,
2015-02-05 00:00:00,206.12,90.87,
2015-02-06 00:00:00,205.55,90.94,
2015-02-09 00:00:00,204.63,90.72,
2015-02-10 00:00:00,206.81,91.03,
2015-02-11 00:00:00,206.93,91,
2015-02-12 00:00:00,208.92,90.99,
2015-02-13 00:00:00,209.78,91.12,
2015-02-17 00:00:00,210.11,91.06,
2015-02-18 00:00:00,210.13,91.37,
2015-02-19 00:00:00,209.98,91.16,
2015-02-20 00:00:00,211.239,91.41,
2015-02-23 00:00:00,211.209,91.48,
2015-02-24 00:00:00,211.81,91.57,
2015-02-25 00:00:00,211.63,91.87,
2015-02-26 00:00:00,211.38,91.85,
2015-02-27 00:00:00,210.66,91.87,
2015-03-02 00:00:00,211.99,91.46,
2015-03-03 00:00:00,211.12,91.2,
2015-03-04 00:00:00,210.2301,91.03,
2015-03-05 00:00:00,210.46,91.2,
2015-03-06 00:00:00,207.5,90.62,
2015-03-09 00:00:00,208.36,90.43,
2015-03-10 00:00:00,204.98,90.08,
2015-03-11 00:00:00,204.5,90.33,
2015-03-12 00:00:00,207.1,90.51,
2015-03-13 00:00:00,205.8272,90.2,
2015-03-16 00:00:00,208.58,90.11,
2015-03-17 00:00:00,207.96,89.66,
2015-03-18 00:00:00,210.46,90.455,
2015-03-19 00:00:00,209.5,89.74,
2015-03-20 00:00:00,210.41,90.44,
2015-03-23 00:00:00,210,90.51,
2015-03-24 00:00:00,208.82,90.65,
2015-03-25 00:00:00,205.76,90.41,
2015-03-26 00:00:00,205.27,90.4,
2015-03-27 00:00:00,205.74,90.47,
2015-03-30 00:00:00,208.25,90.72,
2015-03-31 00:00:00,206.43,90.61,
2015-04-01 00:00:00,205.7,90.39,
2015-04-02 00:00:00,206.435,90.46,
2015-04-06 00:00:00,207.83,90.69,
2015-04-07 00:00:00,207.28,91.17,
2015-04-08 00:00:00,207.975,91.15,
2015-04-09 00:00:00,208.9,91.06,
2015-04-10 00:00:00,210.04,91.27,
2015-04-13 00:00:00,209.09,91.1,
2015-04-14 00:00:00,209.49,91.14,
2015-04-15 00:00:00,210.43,91.5,
2015-04-16 00:00:00,210.37,91.31,
2015-04-17 00:00:00,207.95,91.03,
2015-04-20 00:00:00,209.85,91.23,
2015-04-21 00:00:00,209.6,91.29,
2015-04-22 00:00:00,210.63,91.2,
2015-04-23 00:00:00,211.16,91.17,
2015-04-24 00:00:00,211.6499,91.32,
2015-04-27 00:00:00,210.77,91.35,
2015-04-28 00:00:00,211.44,91.21,
2015-04-29 00:00:00,210.57,91.04,
2015-04-30 00:00:00,208.46,90.99,
2015-05-01 00:00:00,210.72,90.79,
2015-05-04 00:00:00,211.32,90.77,0.4154
2015-05-05 00:00:00,208.9,90.65,0.544
2015-05-06 00:00:00,208.04,90.38,
2015-05-07 00:00:00,208.87,90.37,0.3956
2015-05-08 00:00:00,211.62,91.0799,0.4846
2015-05-11 00:00:00,210.605,90.51,0.4945
2015-05-12 00:00:00,209.98,90.5,0.494
2015-05-13 00:00:00,210.02,90.37,0.4846
2015-05-14 00:00:00,212.21,90.8085,0.4451
2015-05-15 00:00:00,212.44,91.01,0.3758
2015-05-18 00:00:00,213.1,90.86,0.2685
2015-05-19 00:00:00,213.03,90.72,0.2868
2015-05-20 00:00:00,212.88,90.61,0.3115
2015-05-21 00:00:00,213.5,90.74,0.3165
2015-05-22 00:00:00,212.99,90.81,0.3155
2015-05-26 00:00:00,210.7,90.62,0.3165
2015-05-27 00:00:00,212.7,90.82,0.3021
